"","isolate","class","averageAbundance","occupancyPer","soil"
"806rcbc159","806rcbc159","Generalists",69.9950248756219,69.8175787728027,"SE"
"806rcbc160","806rcbc160","Generalists",46.93864013267,70.6467661691542,"SE"
"806rcbc173","806rcbc173","Generalists",67.9402985074627,76.9485903814262,"UG"
"806rcbc182","806rcbc182","Generalists",381.990049751244,78.93864013267,"UG"
"806rcbc185","806rcbc185","Generalists",39.6086235489221,64.6766169154229,"UG"
"806rcbc195","806rcbc195","Generalists",56.4626865671642,71.3101160862355,"SE"
"806rcbc262","806rcbc262","Generalists",474.978441127695,60.8623548922056,"UG"
"806rcbc27","806rcbc27","Generalists",25.6069651741294,52.0729684908789,"NO"
"806rcbc301","806rcbc301","Generalists",511.199004975124,60.0331674958541,"UG"
"806rcbc32","806rcbc32","Generalists",66.2487562189055,76.2852404643449,"NO"
"806rcbc33","806rcbc33","Generalists",31.3946932006634,59.3698175787728,"NO"
"806rcbc361","806rcbc361","Generalists",124.24543946932,52.2388059701493,"UG"
"806rcbc202","806rcbc202","Specialists",900.92039800995,31.1774461028192,"UG"
"806rcbc203","806rcbc203","Specialists",896.640132669983,27.8606965174129,"UG"
"806rcbc204","806rcbc204","Specialists",1956.92371475954,40.6301824212272,"UG"
"806rcbc205","806rcbc205","Specialists",2441.79104477612,46.7661691542289,"UG"
"806rcbc212","806rcbc212","Specialists",575.65008291874,15.0912106135987,"UG"
"806rcbc219","806rcbc219","Specialists",1987.79270315091,46.9320066334992,"UG"
"806rcbc228","806rcbc228","Specialists",1325.5688225539,29.1873963515755,"UG"
"806rcbc229","806rcbc229","Specialists",782.170812603648,25.2072968490879,"UG"
"806rcbc233","806rcbc233","Specialists",1097.59701492537,32.3383084577114,"UG"
"806rcbc239","806rcbc239","Specialists",1294.23051409619,31.8407960199005,"UG"
"806rcbc240","806rcbc240","Specialists",598.638474295191,23.7147595356551,"UG"
"806rcbc242","806rcbc242","Specialists",667.295190713101,32.8358208955224,"UG"
"806rcbc244","806rcbc244","Specialists",4128.30679933665,41.9568822553897,"UG"
"806rcbc247","806rcbc247","Specialists",1732.70978441128,33.9966832504146,"UG"
"806rcbc248","806rcbc248","Specialists",761.067993366501,16.2520729684909,"UG"
"806rcbc250","806rcbc250","Specialists",555.311774461028,31.5091210613599,"UG"
"806rcbc255","806rcbc255","Specialists",1470.27031509121,46.1028192371476,"UG"
"806rcbc258","806rcbc258","Specialists",622.893864013267,23.5489220563847,"UG"
"806rcbc269","806rcbc269","Specialists",1036.16086235489,26.865671641791,"UG"
"806rcbc270","806rcbc270","Specialists",737.787728026534,25.3731343283582,"UG"
"806rcbc273","806rcbc273","Specialists",1604.03316749585,41.1276948590381,"UG"
"806rcbc277","806rcbc277","Specialists",1623.16749585406,35.9867330016584,"UG"
"806rcbc279","806rcbc279","Specialists",978.323383084577,14.0961857379768,"UG"
"806rcbc284","806rcbc284","Specialists",1839.78275290216,29.5190713101161,"Others"
"806rcbc285","806rcbc285","Specialists",3737.1592039801,44.9419568822554,"Others"
"806rcbc29","806rcbc29","Specialists",828.333333333333,17.4129353233831,"SE"
"806rcbc293","806rcbc293","Specialists",1396.97180762852,30.016583747927,"UG"
"806rcbc306","806rcbc306","Specialists",2208.26865671642,33.665008291874,"UG"
"806rcbc309","806rcbc309","Specialists",899.568822553897,24.5439469320066,"UG"
"806rcbc322","806rcbc322","Specialists",1460.06467661692,31.8407960199005,"UG"
"806rcbc324","806rcbc324","Specialists",2358.78109452736,38.3084577114428,"UG"
