"","Plant","Ref","Line1","Line2","Batch","Biomass","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","alpG","alpD","alpS"
"ID_10047580","ID_10047580","R1","GPID_00089","BARACA","MMS Batch 1",14.09,-0.0859032315767782,-0.0299361910489164,-0.032315960998171,-0.0493950023098801,0.218047558947465,-0.0191909877817967,0.156038241991427,0.119029470393592,0.0281264153971331,0.0868232240660996,1.6834377936953,3.2992561220572,2.11558449498163
"ID_10047581","ID_10047581","R1","GPID_00150","Basispop.-387","MMS Batch 1",12.2,0.0824319799256829,-0.00422230652230541,0.0443234419897458,-0.11055603739622,-0.0133385419618694,0.0250004412759506,-0.029190053194033,0.00521124262180344,-0.017560204457679,0.0171364059085638,0.732399434653972,2.99044519216229,2.34645900178159
"ID_10047582","ID_10047582","R1","GPID_00223","Ukko","MMS Batch 1",12.54,0.0581332522257674,-0.0127628494281286,0.0651163120719859,-0.103734298628894,-0.00994832827164658,0.00490588542024516,-0.0123980454936832,0.0357938852058691,0.0322283431597831,0.0649684610706562,1.32103039242351,3.368559468445,2.468874280214
"ID_10047583","ID_10047583","R1","GPID_00133","Tiffany","MMS Batch 1",14.14,0.104543547036436,0.0351552215813025,-0.115990723578548,0.0196812176887606,0.0215781995732373,-0.0363035912241616,-0.0141148346964282,-0.00879813217149318,-0.0207086996994709,-0.139091296390987,1.89271281934468,3.26447373728511,2.20317713624229
"ID_10047584","ID_10047584","R1","GPID_00164","Fab302","MMS Batch 1",13.72,-0.0760982395001293,0.0215674729302729,0.0015913562792859,-0.00285661336049243,-0.164443136686895,-0.0760092258935844,0.137692896640775,-0.00471567229355942,-0.00145749032816011,0.0080782216655584,0.704725465559827,3.21646975186855,2.21585378787143
"ID_10047585","ID_10047585","R1","GPID_00017","DVF278|POP.MOUTIERSSAULEX","MMS Batch 1",12.94,0.0701894185456173,-0.0164682420850966,0.0702220533407856,-0.0753575277739583,-0.00350157888838489,0.00946512720531943,-0.0137862153552904,0.00684681288450629,-0.00434475597434189,0.0157115743142708,0.612134344219141,3.13805782460557,1.97737129910488
"ID_10047586","ID_10047586","R1","GPID_00156","Condor/3(Kaf2)","MMS Batch 1",13.07,0.0387035003236467,-0.0634623289219141,0.126334191279139,0.144466776803264,0.0334528389658094,-0.0211959179149959,0.0257941319342953,0.000163979764561339,-0.0997236297681889,0.0119753421060881,1.01972415733417,3.00866258914313,2.24174233650464
"ID_10047587","ID_10047587","R1","GPID_00028","DVF3350|IG11749","MMS Batch 1",13.65,-0.0550233583351928,0.120647068425146,0.0412828552083732,-0.0166808214235981,0.00379936212700606,0.00505974004845211,-0.0399297231576985,-0.0716249624252176,0.0129010827089108,0.0266978650518835,2.19134460325805,3.19462049446173,2.12872930912875
"ID_10047588","ID_10047588","R1","GPID_00224","75573","MMS Batch 1",13.8,0.0203242939622343,-0.0142937662169104,0.0462097371637165,-0.103661034861073,0.0913097613752391,0.00524190435381599,0.0527673471630073,0.113248337279173,0.0275579891639698,0.0742507898805598,0.526718867996071,3.05067575893667,2.3515803335496
"ID_10047589","ID_10047589","R1","GPID_00240","Messay","MMS Batch 1",13.21,-0.0860940935042265,0.0106112257666958,-0.0153331529743632,0.00659702080651926,-0.0213577975802492,0.0221832641496291,-0.0559879609207655,0.20397550817915,-0.0117116682257527,-0.0773322612825928,1.50446497904371,2.63130209367842,2.28392704142554
